BGC_features	SMILES
['PF00067.25', 'PF02737.21', 'PF00378.23', 'PF16113.8', 'PF00975.23', 'PF12697.10', 'PF12146.11', 'PF03959.16', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF00550.28', 'PF16197.8', 'PF00108.26', 'PF00106.28', 'PF13561.9', 'PF08242.15', 'PF13649.9', 'PF08241.15', 'PF13489.9', 'PF13847.9', 'PF00109.29', 'PF02801.25', 'PF08659.13', 'PF00550.28', 'PF14765.9', 'PF16197.8', 'PF00106.28', 'PF13561.9', 'PF00108.26', 'PF01370.24', 'PF00109.29', 'PF02801.25', 'PF14765.9', 'PF00550.28', 'PF08659.13', 'PF16197.8', 'PF00108.26', 'PF08242.15', 'PF00106.28', 'PF13561.9', 'PF13649.9', 'PF08241.15', 'PF13489.9', 'PF13847.9', 'PF10017.12', 'PF16363.8', 'PF00109.29', 'PF02801.25', 'PF00501.31', 'PF08659.13', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00108.26', 'PF00106.28', 'PF13561.9', 'PF13193.9', 'PF00378.23', 'PF16113.8', 'PF00378.23', 'PF16113.8', 'PF08540.13', 'PF01154.20', 'PF02801.25', 'PF00109.29', 'PF00550.28', 'PF08541.13', 'PF08545.13', 'PF00195.22', 'PF07451.14', 'PF00108.26', 'PF00698.24', 'PF03060.18']	CC=CCC=C(C)C(O)CCC(C)=CC=C(C)C(O)=C1C(=O)C=C(C(C)CCC=CNC(=O)OC)OC1=O
['PF13561.9', 'PF00106.28', 'PF08659.13', 'PF14226.9', 'PF03171.23', 'PF00109.29', 'PF02801.25', 'PF00698.24', 'PF07993.15', 'PF18558.4', 'PF16073.8', 'PF14765.9', 'PF00550.28', 'PF00108.26', 'PF08242.15', 'PF01370.24', 'PF13649.9', 'PF08659.13', 'PF00067.25']	CC1=CCC(C)(C)C=CCC2(C)OC3=C(O)C(=O)C4COC(C34)C2CC1
['PF00975.23', 'PF12697.10', 'PF12146.11', 'PF00441.27', 'PF02770.22', 'PF02771.19', 'PF08028.14', 'PF00501.31', 'PF13193.9', 'PF14573.9', 'PF00109.29', 'PF08659.13', 'PF14765.9', 'PF00698.24', 'PF02801.25', 'PF13602.9', 'PF00107.29', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF08240.15', 'PF01370.24', 'PF16363.8', 'PF00108.26', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF13561.9', 'PF01370.24', 'PF00108.26', 'PF01073.22', 'PF16363.8', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF08242.15', 'PF00550.28', 'PF13489.9', 'PF13649.9', 'PF13847.9', 'PF08241.15', 'PF18558.4', 'PF00108.26', 'PF00300.25']	CCC(=O)C1=CCCC2CCC1N2
['PF02624.19', 'PF00881.27']	CCC(C)C(NC(=O)C1=C(C)OC(C2=C(C)OC(C3=CSC(C4=COC(C5=CSC(C(CCCNC(=N)N)N(C)C)=N5)=N4)=N3)=N2)=N1)C(=O)N1CCCC1C1=NC(C2=NC(C3=NC(C4=NC(C5=NC(C(=O)NCC(=O)NCC(=O)O)=CS5)=CS4)=CS3)=CS2)=CS1
['PF00067.25', 'PF03621.16', 'PF00501.31', 'PF00668.23', 'PF08241.15', 'PF13649.9', 'PF00550.28', 'PF13193.9', 'PF08242.15', 'PF13489.9', 'PF01209.21', 'PF13847.9', 'PF00501.31', 'PF00668.23', 'PF00550.28', 'PF08241.15', 'PF13649.9', 'PF08242.15', 'PF13489.9', 'PF13847.9', 'PF13193.9', 'PF05401.14', 'PF01209.21', 'PF07021.15', 'PF00067.25']	CN1C(=O)C(CC2=CC=CC=C2)NC(=O)C1CC1=CNC2=C1C([N+](=O)[O-])=CC=C2
['PF13575.9', 'PF05147.16']	CC(C)C1NC(=O)C(CC2=CC=CC=C2)NC(=O)C2NC(=O)C(CC3=CC=CC=C3)NC(=O)C3CCCN3C(=O)CNC(=O)C(CC3=CC=CC=C3)NC(=O)C3CNCCCCC(C(=O)O)NC(=O)C4NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(O)C(=O)O)NC(=O)C(CSCC(NC(=O)C(CCC(N)=O)NC(=O)C(CCCCN)NC(=O)C(N)CSC4C)C(=O)NC(CSC2C)C(=O)N3)NC1=O
['PF13649.9', 'PF08241.15', 'PF01209.21', 'PF13489.9', 'PF01728.22', 'PF08242.15', 'PF13847.9', 'PF00378.23', 'PF16113.8', 'PF00171.25', 'PF02776.21', 'PF00205.25', 'PF02775.24', 'PF00378.23', 'PF16113.8', 'PF00378.23', 'PF02797.18', 'PF00195.22', 'PF08392.15', 'PF08541.13', 'PF08545.13', 'PF00975.23', 'PF12697.10', 'PF00561.23', 'PF12146.11', 'PF07859.16', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF13602.9', 'PF00108.26', 'PF13561.9', 'PF00107.29', 'PF08240.15', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF14765.9', 'PF02801.25', 'PF13602.9', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00107.29', 'PF08990.14', 'PF00108.26', 'PF08240.15', 'PF13561.9', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF13602.9', 'PF00975.23', 'PF00108.26', 'PF00107.29', 'PF00106.28', 'PF08990.14', 'PF08240.15', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF00501.31', 'PF14765.9', 'PF00550.28', 'PF16197.8', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF18369.4', 'PF01370.24', 'PF13193.9', 'PF01565.26', 'PF08031.15']	CC1=CC(C)CCC2OC(C3=C(O)C(=O)C(C)=C4OC(O)(C=C43)C(C)CC(C)C1)C(C)C(O)C2C
['PF00106.28', 'PF13561.9', 'PF12146.11', 'PF00561.23', 'PF12697.10', 'PF01738.21', 'PF05448.15', 'PF00326.24', 'PF02129.21', 'PF20408.1', 'PF20434.1', 'PF01613.21', 'PF08545.13', 'PF08392.15', 'PF08541.13', 'PF00195.22', 'PF00108.26', 'PF00550.28', 'PF00975.23', 'PF12697.10', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF08659.13', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF14765.9', 'PF08659.13', 'PF16197.8', 'PF00550.28', 'PF13602.9', 'PF00108.26', 'PF00107.29', 'PF00106.28', 'PF08990.14', 'PF08545.13', 'PF08240.15', 'PF01370.24', 'PF00109.29', 'PF00698.24', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF00108.26', 'PF08990.14', 'PF00067.25', 'PF01757.25', 'PF00067.25', 'PF00248.24']	CC(=O)CC(C)C(=O)C1=C(O)C2(CC(C)C(C)=CC2C=CC(=O)O)OC1=O
['PF01370.24', 'PF16363.8', 'PF01073.22', 'PF04321.20', 'PF07993.15', 'PF02719.18', 'PF13460.9', 'PF04127.18', 'PF00106.28', 'PF03435.21', 'PF13641.9', 'PF00535.29', 'PF08541.13', 'PF08545.13', 'PF00698.24', 'PF00109.29', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF14765.9', 'PF00108.26', 'PF00483.26', 'PF12804.10', 'PF16363.8', 'PF01370.24', 'PF01073.22', 'PF04321.20', 'PF02719.18', 'PF07993.15', 'PF13460.9', 'PF00106.28', 'PF03435.21', 'PF05368.16', 'PF01370.24', 'PF16363.8', 'PF04321.20', 'PF01073.22', 'PF02719.18', 'PF13460.9', 'PF07993.15', 'PF05368.16', 'PF00106.28', 'PF05721.16', 'PF06722.15', 'PF00201.21', 'PF16363.8', 'PF01370.24', 'PF01073.22', 'PF02719.18', 'PF00106.28', 'PF04321.20', 'PF13460.9', 'PF08241.15', 'PF13649.9', 'PF08242.15', 'PF13847.9', 'PF13489.9', 'PF02353.23', 'PF00398.23', 'PF01209.21', 'PF00248.24', 'PF05721.16', 'PF13489.9', 'PF08241.15', 'PF13847.9', 'PF13649.9', 'PF08242.15', 'PF00676.23', 'PF02775.24', 'PF13292.9', 'PF00456.24', 'PF02780.23', 'PF02779.27', 'PF00535.29', 'PF13641.9', 'PF00534.23', 'PF13439.9', 'PF13692.9']	COCC1OC(OC2OCC3OC4(OC3C2OC(=O)C(C)C)OC(C)C(O)(C(C)=O)C2OCOC24)C(OC)C(O)C1OC1OC(C)C(OC)C(OC2CC3(C)OC4(CC(O)C(OC5CC(O)C(OC(=O)C6=C(C)C(Cl)=C(O)C(Cl)=C6OC)C(C)O5)C(C)O4)OC3C(C)O2)C1O
['PF01073.22', 'PF01370.24', 'PF13460.9', 'PF07993.15', 'PF04321.20', 'PF16363.8', 'PF02719.18', 'PF05368.16', 'PF00501.31', 'PF00561.23', 'PF12697.10', 'PF12146.11', 'PF10230.12', 'PF08541.13', 'PF00108.26', 'PF08545.13', 'PF00109.29', 'PF00550.28', 'PF02801.25', 'PF00698.24', 'PF14765.9', 'PF08659.13', 'PF16197.8', 'PF07977.16', 'PF00109.29', 'PF02801.25', 'PF16197.8', 'PF18328.4', 'PF03060.18', 'PF00082.25', 'PF01483.23', 'PF05922.19', 'PF02225.25', 'PF00551.22']	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
['PF04820.17', 'PF01494.22', 'PF01266.27', 'PF13450.9', 'PF07992.17', 'PF00996.21', 'PF01039.25', 'PF06833.14', 'PF01494.22', 'PF01266.27', 'PF07992.17', 'PF13450.9', 'PF00890.27', 'PF04673.15', 'PF00109.29', 'PF02801.25', 'PF00109.29', 'PF02801.25', 'PF00550.28', 'PF00106.28', 'PF13561.9', 'PF08659.13', 'PF13460.9', 'PF10604.12', 'PF03364.23', 'PF01494.22', 'PF07992.17', 'PF00070.30', 'PF13450.9', 'PF01266.27', 'PF01613.21', 'PF02786.20', 'PF00289.25', 'PF02785.22', 'PF00364.25', 'PF02222.25', 'PF07478.16', 'PF13533.9', 'PF01494.22', 'PF07992.17', 'PF01266.27']	CC1=CC(O)=C2C(=O)OC3(OC4=CC=CC(C(=O)O)=C4C3=O)C2=C1Cl
['PF00348.20', 'PF00494.22', 'PF01593.27', 'PF13450.9', 'PF01266.27', 'PF00890.27', 'PF07992.17', 'PF05834.15']	CC(C)=CCCC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)CCCC(C)(C)OC1OC(CO)C(O)C(O)C1O
['PF00201.21', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00975.23', 'PF00106.28', 'PF08990.14', 'PF00550.28', 'PF00108.26', 'PF13561.9', 'PF12697.10', 'PF01370.24', 'PF02719.18', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF14765.9', 'PF02801.25', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF00108.26', 'PF08990.14', 'PF13561.9', 'PF01370.24', 'PF02719.18', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF02801.25', 'PF16197.8', 'PF00106.28', 'PF00550.28', 'PF18369.4', 'PF14765.9', 'PF00108.26', 'PF13561.9', 'PF01370.24', 'PF16363.8', 'PF02719.18', 'PF08990.14', 'PF00975.23', 'PF12697.10', 'PF16363.8', 'PF01370.24', 'PF04321.20', 'PF05368.16', 'PF13460.9', 'PF01041.20', 'PF00155.24', 'PF00266.22', 'PF01053.23', 'PF01212.24', 'PF00067.25', 'PF00109.29', 'PF00501.31', 'PF00698.24', 'PF02801.25', 'PF00550.28', 'PF13350.9', 'PF16197.8', 'PF00108.26', 'PF13193.9', 'PF00109.29', 'PF08659.13', 'PF00698.24', 'PF02801.25', 'PF14765.9', 'PF16197.8', 'PF00550.28', 'PF00106.28', 'PF01370.24', 'PF00108.26', 'PF16363.8', 'PF02719.18', 'PF18369.4', 'PF08990.14', 'PF00067.25']	CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O
['PF00248.24', 'PF01613.21', 'PF00501.31', 'PF13193.9', 'PF00441.27', 'PF02770.22', 'PF02771.19', 'PF08028.14', 'PF04820.17', 'PF01494.22', 'PF12831.10', 'PF00109.29', 'PF00698.24', 'PF08659.13', 'PF07993.15', 'PF02801.25', 'PF16197.8', 'PF00550.28', 'PF01370.24', 'PF00106.28', 'PF01073.22', 'PF00108.26', 'PF16363.8', 'PF13561.9', 'PF00109.29', 'PF02801.25', 'PF00698.24', 'PF16197.8', 'PF00550.28', 'PF00108.26', 'PF01648.23', 'PF00975.23', 'PF12697.10', 'PF12146.11', 'PF04820.17', 'PF01494.22', 'PF01266.27', 'PF13450.9', 'PF07992.17', 'PF12831.10', 'PF02558.19', 'PF04820.17', 'PF01494.22', 'PF13450.9', 'PF12831.10', 'PF00550.28', 'PF04820.17', 'PF01494.22', 'PF01266.27', 'PF07992.17', 'PF13450.9', 'PF12831.10', 'PF01134.25', 'PF01946.20', 'PF03486.17']	O=C(C1=CC=CC=C1O)C1=C(N2C(C(=O)C3=CC(Br)=CC=C3O)=CC(Cl)=C2Cl)C(Cl)=C(Cl)N1
['PF00155.24', 'PF00550.28', 'PF16864.8', 'PF05721.16', 'PF00106.28', 'PF13561.9', 'PF08659.13', 'PF08643.13', 'PF02543.18', 'PF16861.8']	NC1NC2C(COC(=O)NS(=O)(=O)O)N(O)C(N)N3CC(OS(=O)(=O)O)C(O)(O)C23N1
['PF00501.31', 'PF00668.23', 'PF00550.28', 'PF00067.25', 'PF00501.31', 'PF00668.23', 'PF00550.28']	CC(=O)NC1CC2=CN(C(=O)C3=CC=CC=C3NC(=O)C3CCCN3C1=O)C1=CC=CC=C21
['PF02627.23', 'PF13416.9', 'PF01547.28', 'PF04820.17', 'PF01494.22', 'PF00890.27', 'PF12831.10', 'PF01266.27', 'PF07992.17', 'PF13450.9', 'PF03486.17', 'PF00483.26', 'PF12804.10', 'PF07959.15', 'PF00960.21', 'PF01041.20', 'PF00155.24', 'PF00266.22', 'PF01212.24', 'PF01053.23', 'PF13649.9', 'PF08241.15', 'PF13847.9', 'PF08242.15', 'PF13489.9', 'PF05401.14', 'PF06441.15', 'PF00561.23', 'PF00117.31', 'PF07722.16', 'PF00425.21', 'PF04715.16', 'PF00501.31', 'PF14535.9', 'PF01757.25', 'PF00908.20', 'PF13450.9', 'PF01266.27', 'PF12831.10', 'PF01494.22', 'PF03486.17', 'PF06722.15', 'PF16363.8', 'PF01370.24', 'PF01073.22', 'PF02719.18', 'PF04321.20', 'PF07993.15', 'PF13460.9', 'PF05368.16', 'PF14535.9', 'PF00501.31', 'PF12697.10', 'PF12146.11', 'PF00668.23', 'PF00550.28', 'PF00501.31', 'PF13193.9', 'PF00668.23', 'PF03176.18', 'PF12349.11', 'PF00873.22', 'PF00891.21', 'PF13649.9', 'PF05175.17', 'PF00067.25', 'PF08028.14', 'PF02771.19', 'PF02770.22', 'PF00106.28', 'PF13561.9', 'PF08659.13', 'PF13460.9', 'PF00067.25', 'PF01613.21', 'PF00109.29', 'PF14765.9', 'PF02801.25', 'PF08659.13', 'PF00698.24', 'PF16197.8', 'PF00106.28', 'PF13561.9', 'PF00108.26']	C=C1OC2=C(NC1=O)C(C(=O)OC1COC(=O)CC(N)C3=CC(O)=C(OC4C#CC=C1C#CC1=CC=CC14OC1OC(C)(C)C(N(C)C)C(O)C1O)C(Cl)=C3)=CC(OC)=C2
['PF00067.25', 'PF00067.25', 'PF00067.25', 'PF03936.19', 'PF19086.3', 'PF01397.24', 'PF03936.19', 'PF01397.24', 'PF19086.3', 'PF00067.25']	C=C1CCCC2(C)CCC3=C(C)CCC(CC12)C3(C)C
['PF13292.9', 'PF02779.27', 'PF02780.23', 'PF02775.24', 'PF00456.24', 'PF08028.14', 'PF00441.27', 'PF01494.22', 'PF07992.17', 'PF00067.25', 'PF00348.20', 'PF03301.16', 'PF01494.22', 'PF01266.27', 'PF00348.20']	CC12CCC(O)C(C)(C(=O)O)C1CCC1=C2C=C2C(=C1)NC1=C2C=CC=C1
